Year,region,site,Latitude,Longitude,Elevation,Tave06,Tave07,PPT06,PPT07,MAT,MAP
2001,Southwest,Highway 26,44.38361,120.52029,1134,12.5,16.6,24,29,7.7,345
2001,Center,Tucannon,46.23581,117.74268,1035,14.1,18.3,78,30,8.9,998
2002,Center,Abel's Ridge,46.2844,117.59807,1441,13.5,18.6,91,10,7,628
2002,North,Blue Lake,49.04672,119.55738,852,16,19.5,13,14,7.1,269
2002,Center,Government Trail Ridge,46.24479,117.48715,1445,13.2,18.5,87,8,6.8,575
2002,North,Rock Creek,49.04469,119.04353,849,14.8,18.3,17,13,6,263
2002,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.4,23.1,28,4,9.4,184
2002,Southwest,McKay Creek,44.46775,120.71079,1128,14.1,18.2,19,5,7.8,228
2002,Southwest,Highway 26,44.38361,120.52029,1134,14.7,18.9,19,8,7.8,238
2002,Center,Tucannon,46.23581,117.74268,1035,16.1,20.4,118,12,8.9,825
2003,Center,Abel's Ridge,46.2844,117.59807,1441,14,19.3,10,7,8,859
2003,North,Blue Lake,49.04672,119.55738,852,16.7,20.5,13,1,8,297
2003,Center,Government Trail Ridge,46.24479,117.48715,1445,13.6,19.2,11,7,7.9,789
2003,North,Rock Creek,49.04469,119.04353,849,15.4,19.3,15,1,7,290
2003,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.7,23.5,10,15,10.5,286
2003,Southwest,McKay Creek,44.46775,120.71079,1128,14.8,18.8,2,5,8.5,358
2003,Southwest,Highway 26,44.38361,120.52029,1134,15.5,19.4,2,9,8.6,362
2003,Center,Tucannon,46.23581,117.74268,1035,16.6,21.1,10,6,9.9,1125
2004,Center,Abel's Ridge,46.2844,117.59807,1441,13.8,18.7,68,15,7.9,737
2004,North,Blue Lake,49.04672,119.55738,852,16.9,20.3,34,23,8.1,394
2004,Center,Government Trail Ridge,46.24479,117.48715,1445,13.5,18.5,67,12,7.7,680
2004,North,Rock Creek,49.04469,119.04353,849,15.7,19.1,37,21,7.1,391
2004,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.3,22.5,11,4,9.9,290
2004,Southwest,McKay Creek,44.46775,120.71079,1128,14.3,18.4,18,2,8.5,360
2004,Southwest,Highway 26,44.38361,120.52029,1134,14.9,19,16,2,8.6,338
2004,Center,Tucannon,46.23581,117.74268,1035,16.4,20.5,89,16,9.7,936
2005,Center,Abel's Ridge,46.2844,117.59807,1441,11.7,17.8,52,17,7.2,653
2005,North,Blue Lake,49.04672,119.55738,852,14.9,18.3,53,22,7.3,370
2005,Center,Government Trail Ridge,46.24479,117.48715,1445,11.3,17.7,55,13,7,606
2005,North,Rock Creek,49.04469,119.04353,849,13.7,17.2,61,20,6.3,346
2005,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.5,22.5,28,3,9.2,309
2005,Southwest,McKay Creek,44.46775,120.71079,1128,12,17.7,19,7,7.6,449
2005,Southwest,Highway 26,44.38361,120.52029,1134,12.6,18.4,21,7,7.7,443
2005,Center,Tucannon,46.23581,117.74268,1035,14.3,19.6,58,19,9,844
2006,Center,Abel's Ridge,46.2844,117.59807,1441,13.8,19.5,75,5,7.8,861
2006,North,Blue Lake,49.04672,119.55738,852,16.4,20.3,33,15,7.8,395
2006,Center,Government Trail Ridge,46.24479,117.48715,1445,13.5,19.5,74,5,7.6,778
2006,North,Rock Creek,49.04469,119.04353,849,15.3,19.2,38,15,6.8,376
2006,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.8,23.7,16,6,9.8,288
2006,Southwest,McKay Creek,44.46775,120.71079,1128,14.1,18.6,52,2,8.1,507
2006,Southwest,Highway 26,44.38361,120.52029,1134,14.7,19.2,52,2,8.1,486
2006,Center,Tucannon,46.23581,117.74268,1035,16.3,21.3,90,4,9.6,1137
2007,Center,Abel's Ridge,46.2844,117.59807,1441,13.3,19.5,58,26,7.4,707
2007,North,Blue Lake,49.04672,119.55738,852,15.5,20.8,41,28,7.3,361
2007,Center,Government Trail Ridge,46.24479,117.48715,1445,13,19.4,55,18,7.3,631
2007,North,Rock Creek,49.04469,119.04353,849,14.4,19.9,45,24,6.4,331
2007,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.4,23.1,20,2,9.7,189
2007,Southwest,McKay Creek,44.46775,120.71079,1128,13.2,18.4,38,9,7.5,356
2007,Southwest,Highway 26,44.38361,120.52029,1134,13.8,19.1,38,9,7.5,343
2007,Center,Tucannon,46.23581,117.74268,1035,15.8,21.3,76,36,9.2,955
2008,Center,Abel's Ridge,46.2844,117.59807,1441,12.2,17.6,69,9,6.7,717
2008,North,Blue Lake,49.04672,119.55738,852,14.7,18.5,58,21,6.6,398
2008,Center,Government Trail Ridge,46.24479,117.48715,1445,11.9,17.6,68,8,6.6,661
2008,North,Rock Creek,49.04469,119.04353,849,13.6,17.4,65,18,5.6,380
2008,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.9,21.8,12,4,9.2,176
2008,Southwest,McKay Creek,44.46775,120.71079,1128,12.5,16.9,8,3,7.2,233
2008,Southwest,Highway 26,44.38361,120.52029,1134,13.2,17.5,9,3,7.2,238
2008,Center,Tucannon,46.23581,117.74268,1035,14.8,19.4,88,10,8.5,958
2009,Center,Abel's Ridge,46.2844,117.59807,1441,13.4,18.6,64,30,6.8,860
2009,North,Blue Lake,49.04672,119.55738,852,16,20.1,22,17,6.7,310
2009,Center,Government Trail Ridge,46.24479,117.48715,1445,13,18.5,67,23,6.7,761
2009,North,Rock Creek,49.04469,119.04353,849,14.8,18.8,26,15,5.6,283
2009,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.2,22.4,69,7,9.3,262
2009,Southwest,McKay Creek,44.46775,120.71079,1128,13.8,18.6,76,1,7.2,371
2009,Southwest,Highway 26,44.38361,120.52029,1134,14.3,19.1,78,1,7.2,356
2009,Center,Tucannon,46.23581,117.74268,1035,15.9,20.5,78,31,8.6,1170
2010,Center,Abel's Ridge,46.2844,117.59807,1441,11,16.5,154,23,7,942
2010,North,Blue Lake,49.04672,119.55738,852,14.2,17.7,50,6,7.3,383
2010,Center,Government Trail Ridge,46.24479,117.48715,1445,10.6,16.4,153,16,6.8,844
2010,North,Rock Creek,49.04469,119.04353,849,13,16.5,61,7,6.3,355
2010,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.4,21.2,47,5,9.5,335
2010,Southwest,McKay Creek,44.46775,120.71079,1128,11.6,16.6,49,10,7.5,474
2010,Southwest,Highway 26,44.38361,120.52029,1134,12.2,17.3,47,10,7.6,467
2010,Center,Tucannon,46.23581,117.74268,1035,13.6,18.3,193,29,8.8,1265
2011,Center,Abel's Ridge,46.2844,117.59807,1441,10.4,14.7,48,13,6.3,787
2011,North,Blue Lake,49.04672,119.55738,852,14.5,17.3,19,26,6.2,337
2011,Center,Government Trail Ridge,46.24479,117.48715,1445,10.1,14.6,46,9,6.1,712
2011,North,Rock Creek,49.04469,119.04353,849,13.3,16,22,24,5.2,304
2011,Southwest,Leslie Gulch,43.29848,117.27058,1043,15,20.4,28,5,8.9,313
2011,Southwest,McKay Creek,44.46775,120.71079,1128,11.1,14.6,39,17,6.8,395
2011,Southwest,Highway 26,44.38361,120.52029,1134,11.7,15.3,42,18,6.8,378
2011,Center,Tucannon,46.23581,117.74268,1035,13,16.6,64,15,8.1,1035
2012,Center,Abel's Ridge,46.2844,117.59807,1441,11.7,18.2,99,30,7.6,865
2012,North,Blue Lake,49.04672,119.55738,852,14,18.4,78,32,7,373
2012,Center,Government Trail Ridge,46.24479,117.48715,1445,11.4,18.2,98,24,7.5,781
2012,North,Rock Creek,49.04469,119.04353,849,12.9,17.4,88,30,6.1,356
2012,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.7,23,17,5,10.4,270
2012,Southwest,McKay Creek,44.46775,120.71079,1128,11.5,16.6,50,10,7.8,487
2012,Southwest,Highway 26,44.38361,120.52029,1134,12.2,17.3,50,11,7.9,473
2012,Center,Tucannon,46.23581,117.74268,1035,14.2,19.9,120,33,9.4,1156
