Year,region,site,Latitude,Longitude,Elevation,Tave06,Tave07,PPT06,PPT07,MAT,MAP
1971,Center,Tucannon,46.23581,117.74268,1035,12.5,18.7,183,38,8.4,1243
1972,Center,Abel's Ridge,46.2844,117.59807,1441,13.1,16.2,43,23,6.5,819
1972,North,Blue Lake,49.04672,119.55738,852,14.6,17.2,61,16,5.8,409
1972,Center,Government Trail Ridge,46.24479,117.48715,1445,12.7,16.1,44,20,6.3,768
1972,North,Rock Creek,49.04469,119.04353,849,13.5,16,66,14,4.9,381
1972,Southwest,Leslie Gulch,43.29848,117.27058,1043,18.2,20,29,2,8.8,253
1972,Southwest,McKay Creek,44.46775,120.71079,1128,14,17.1,40,3,7.2,365
1972,Southwest,Highway 26,44.38361,120.52029,1134,14.6,17.8,45,2,7.4,371
1972,Center,Tucannon,46.23581,117.74268,1035,15.8,18.1,51,23,8.4,1053
1973,Center,Abel's Ridge,46.2844,117.59807,1441,13.1,17.8,16,4,7.3,773
1973,North,Blue Lake,49.04672,119.55738,852,14.7,19.1,32,2,7.2,388
1973,Center,Government Trail Ridge,46.24479,117.48715,1445,12.8,17.8,16,2,7.1,713
1973,North,Rock Creek,49.04469,119.04353,849,13.5,17.9,33,2,6.2,346
1973,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.6,21.1,8,3,9.8,235
1973,Southwest,McKay Creek,44.46775,120.71079,1128,13.4,17.5,2,1,7.8,384
1973,Southwest,Highway 26,44.38361,120.52029,1134,14.3,18.1,3,1,7.8,389
1973,Center,Tucannon,46.23581,117.74268,1035,15.7,19.6,19,4,9.1,1031
1974,Center,Abel's Ridge,46.2844,117.59807,1441,14.8,16.6,60,30,7.2,604
1974,North,Blue Lake,49.04672,119.55738,852,16.5,17.1,3,41,7.4,315
1974,Center,Government Trail Ridge,46.24479,117.48715,1445,14.5,16.5,55,22,7,532
1974,North,Rock Creek,49.04469,119.04353,849,15.5,16.1,3,35,6.4,301
1974,Southwest,Leslie Gulch,43.29848,117.27058,1043,19.7,20.4,5,33,9.5,206
1974,Southwest,McKay Creek,44.46775,120.71079,1128,15.1,16.1,5,14,7.5,246
1974,Southwest,Highway 26,44.38361,120.52029,1134,16,16.7,6,20,7.6,257
1974,Center,Tucannon,46.23581,117.74268,1035,17.3,18.5,81,34,9.1,805
1975,Center,Abel's Ridge,46.2844,117.59807,1441,11.3,18.7,62,46,6.4,947
1975,North,Blue Lake,49.04672,119.55738,852,14.3,20.3,26,21,6.2,370
1975,Center,Government Trail Ridge,46.24479,117.48715,1445,10.9,18.5,62,33,6.2,868
1975,North,Rock Creek,49.04469,119.04353,849,13.2,19.1,31,30,5.2,343
1975,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.1,22.5,33,39,8.5,288
1975,Southwest,McKay Creek,44.46775,120.71079,1128,12.1,18.4,36,44,7.1,420
1975,Southwest,Highway 26,44.38361,120.52029,1134,12.7,18.9,37,51,7.2,434
1975,Center,Tucannon,46.23581,117.74268,1035,14,20.5,76,53,8.3,1230
1976,Center,Abel's Ridge,46.2844,117.59807,1441,10.9,16.7,80,19,6.8,632
1976,North,Blue Lake,49.04672,119.55738,852,13.1,17.4,28,14,6.7,283
1976,Center,Government Trail Ridge,46.24479,117.48715,1445,10.5,16.6,78,16,6.7,565
1976,North,Rock Creek,49.04469,119.04353,849,12,16.2,40,13,5.6,313
1976,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.9,21.1,23,28,8.7,258
1976,Southwest,McKay Creek,44.46775,120.71079,1128,11.3,17.2,26,7,7.4,314
1976,Southwest,Highway 26,44.38361,120.52029,1134,11.9,17.6,25,9,7.4,315
1976,Center,Tucannon,46.23581,117.74268,1035,13.7,18.6,102,22,8.7,836
1977,Center,Abel's Ridge,46.2844,117.59807,1441,15.5,16.2,32,13,6.9,712
1977,North,Blue Lake,49.04672,119.55738,852,17,17.5,16,15,6.9,378
1977,Center,Government Trail Ridge,46.24479,117.48715,1445,15.2,16.1,31,11,6.7,669
1977,North,Rock Creek,49.04469,119.04353,849,15.7,16.3,23,14,5.6,326
1977,Southwest,Leslie Gulch,43.29848,117.27058,1043,20.4,20.9,13,16,9.4,268
1977,Southwest,McKay Creek,44.46775,120.71079,1128,15.2,15.9,8,3,7.3,408
1977,Southwest,Highway 26,44.38361,120.52029,1134,15.9,16.5,10,5,7.5,401
1977,Center,Tucannon,46.23581,117.74268,1035,18.1,18,41,13,8.7,913
1978,Center,Abel's Ridge,46.2844,117.59807,1441,13.3,16.8,27,74,6.3,810
1978,North,Blue Lake,49.04672,119.55738,852,15.6,19.1,16,39,6.4,389
1978,Center,Government Trail Ridge,46.24479,117.48715,1445,12.8,16.7,25,52,6.2,736
1978,North,Rock Creek,49.04469,119.04353,849,14.3,17.7,23,31,5.2,378
1978,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.2,20.6,20,14,9.3,335
1978,Southwest,McKay Creek,44.46775,120.71079,1128,13.6,16.8,42,26,7.1,475
1978,Southwest,Highway 26,44.38361,120.52029,1134,14.3,17.4,42,25,7.2,463
1978,Center,Tucannon,46.23581,117.74268,1035,16.1,18.7,36,97,8.2,1036
1979,Center,Abel's Ridge,46.2844,117.59807,1441,13.5,17.6,46,16,6.7,721
1979,North,Blue Lake,49.04672,119.55738,852,16.1,19.4,32,17,6.8,327
