region,site,name,abbreviation,lat,long,elev,MAT_hist,Tfal_hist,Twin_hist,Tspr_hist,Tsum_hist,MAP_hist,PPT_at_hist,PPT_wt_hist,PPT_sp_hist,PPT_sm_hist,MAT_exp,Tfal_exp,Twin_exp,Tspr_exp,Tsum_exp,MAP_exp,PPT_at_exp,PPT_wt_exp,PPT_sp_exp,PPT_sm_exp,MAT_future205545,MAP_future205545,Tsum_future205545,Psum_future205545,MAT_future205585,MAP_future205585,Tsum_future205585,Psum_future205585
Center,Abel's Ridge,Center 2,C2,46.2844,-117.59807,1441,7.042,7.438,-0.582,5.578,14.923,788.28,185.32,268.74,209.48,92.54,9.807499945,9.460000038,2.349999984,7.786666552,19.32499981,731.6499958,207.3399963,302.5899963,165.0200043,45.68999863,10.4,940,20.15,64,11.4,985,21.5,69
Center,Government Trail Ridge,Center 3,C3,46.24479,-117.48715,1445,6.868,7.322,-0.474,5.086,14.67,712.7,163.32,241.9,189.74,87.42,9.896666487,9.623333216,2.423333406,7.726666451,19.48999977,586.4400091,158.1500034,232.7400017,131.8700027,53.23000145,10.5,840,20.15,67,11.5,882,21.5,73
Center,Tucannon,Center 1,C1,46.23581,-117.74268,1035,8.894,9.154,0.58,8.128,17.175,1041.48,248.74,368.86,278.26,109.62,9.620833409,9.216666579,2.00000001,8.060000102,18.96000004,871.6899824,263.239996,371.9099884,191.0999985,34.29999924,11.2,1059,21.4,64,12.3,1110,22.75,68
North,Blue Lake,North 1,N1,49.04672,-119.55738,852,7,7.028,-3.286,7,16.866,377.44,78.48,110.14,97.6,66.88,9.000000047,7.933333268,-0.913333257,9.053333282,20.06500053,314.0399985,113.7400007,92.32999992,61.71999884,40.73999882,10.1,395,21.3,55,11.2,406,22.75,55
North,Rock Creek,North 2,N2,49.04469,-119.04353,849,5.982,6.064,-4.184,5.848,15.717,356.18,75.8,96.56,88.78,68.94,8.091666609,7.033333341,-1.823333343,8.079999924,19.13500023,319.5199995,90.33000183,101.079998,69.14000034,52.35999918,9.8,367,21.1,57,10.9,377,22.55,57
Southwest,Highway 26,Southwest 2,SW2,44.38361,-120.52029,1134,7.54,8.024,-0.542,6.568,15.557,394.86,97.04,140.82,94.26,46.7,8.8299998,8.589999894,2.080000003,6.919999758,17.36499977,401.579998,125.2199993,147.1000004,84.24999905,43.79999924,10.7,362,20.2,36,11.7,380,21.55,38
Southwest,Leslie Gulch,Southwest 3,SW3,43.29848,-117.27058,1043,9.18,9.026,-0.33,8.686,18.973,287.8,62.14,76.92,98.36,39.72,10.8666666,10.29999963,2.50333333,9.186666648,21.06999969,310.6100014,86.45000076,109.7900009,86.44999981,26.57999992,13,320,24,31,14,343,25.15,46
Southwest,McKay Creek,Southwest 1,SW1,44.46775,-120.71079,1128,7.488,8.05,0.29,6.092,14.934,400,99.24,134.92,104.9,44.56,9.107500091,8.973333478,2.293333312,7.096666654,17.75,338.3999987,109.0900011,109.1199989,86.8399992,31.30999947,11,321,20.35,33,12,337,21.7,34
