"","model","MAP_hist:Estimate","MAP_hist:Pr(>|z|)","MAP_hist:Std. Error","MAP_hist:z value","MAP_hist.pollinatorsno:Estimate","MAP_hist.pollinatorsno:Pr(>|z|)","MAP_hist.pollinatorsno:Std. Error","MAP_hist.pollinatorsno:z value","MAT_hist:Estimate","MAT_hist:Pr(>|z|)","MAT_hist:Std. Error","MAT_hist:z value","MAT_hist.pollinatorsno:Estimate","MAT_hist.pollinatorsno:Pr(>|z|)","MAT_hist.pollinatorsno:Std. Error","MAT_hist.pollinatorsno:z value","pollinatorsno:Estimate","pollinatorsno:Pr(>|z|)","pollinatorsno:Std. Error","pollinatorsno:z value","PPT_sm_exp:Estimate","PPT_sm_exp:Pr(>|z|)","PPT_sm_exp:Std. Error","PPT_sm_exp:z value","PPT_sm_exp.pollinatorsno:Estimate","PPT_sm_exp.pollinatorsno:Pr(>|z|)","PPT_sm_exp.pollinatorsno:Std. Error","PPT_sm_exp.pollinatorsno:z value","regionNorth:Estimate","regionNorth:Pr(>|z|)","regionNorth:Std. Error","regionNorth:z value","regionNorth.pollinatorsno:Estimate","regionNorth.pollinatorsno:Pr(>|z|)","regionNorth.pollinatorsno:Std. Error","regionNorth.pollinatorsno:z value","regionSouthwest:Estimate","regionSouthwest:Pr(>|z|)","regionSouthwest:Std. Error","regionSouthwest:z value","regionSouthwest.pollinatorsno:Estimate","regionSouthwest.pollinatorsno:Pr(>|z|)","regionSouthwest.pollinatorsno:Std. Error","regionSouthwest.pollinatorsno:z value","Tsum_exp:Estimate","Tsum_exp:Pr(>|z|)","Tsum_exp:Std. Error","Tsum_exp:z value","Tsum_exp.pollinatorsno:Estimate","Tsum_exp.pollinatorsno:Pr(>|z|)","Tsum_exp.pollinatorsno:Std. Error","Tsum_exp.pollinatorsno:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"1","fruits_map_mod.cond",0.0462864467186507,0.635035165303829,0.097516632012988,0.474651818496827,-0.11115943319656,0.0861559789204089,0.0647769738602265,-1.71603312986519,NA,NA,NA,NA,NA,NA,NA,NA,-0.834084603232915,1.46512924736489e-36,0.0660462776649226,-12.6287904893677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15366017352609,5.38030739216476e-232,0.0969729781559139,32.5210201181572
"2","fruits_mat_mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,-0.0844823106620094,0.348393188573155,0.0900942322291264,-0.937710534534055,-0.037650689252625,0.541214097250967,0.0616236342573141,-0.610978072072343,-0.826619224267439,5.19573317828527e-36,0.0659776437886385,-12.5287775798048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15890199989044,1.01527760118128e-266,0.0905360987070744,34.8910770952361
"3","fruits_pptsum_mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.825151572170694,6.91147104489816e-36,0.0659797977303448,-12.5061246101881,0.0308628284340745,0.747853300929294,0.0960049430295729,0.321471243668856,-0.0189242903605328,0.763306838118704,0.0628419207364381,-0.301141183126821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15634899801331,1.73726215404053e-230,0.0973758036293632,32.4140996055567
"4","fruits_reg_mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986617161351633,1.06434972168793e-18,0.111758269930544,-8.82813559985139,NA,NA,NA,NA,NA,NA,NA,NA,0.219235174614919,0.156985194452159,0.154905410002414,1.41528416994283,0.370968530388147,0.0195450992845367,0.15887521844703,2.33496786984328,-0.217115167457618,0.11942305684139,0.139426660620717,-1.55719979587145,0.0979346526472033,0.523383998076929,0.153469448707668,0.638137775771591,NA,NA,NA,NA,NA,NA,NA,NA,3.18504166932989,4.12459864076169e-231,0.098126919446069,32.4583884555798
"5","fruits_tsum_mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.840259908145679,1.40856176175445e-36,0.0665189446559197,-12.6318887422533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0371979681523969,0.688098129489787,0.0926619431649434,0.401437384991835,0.105279573506955,0.104837694545796,0.0649136775175103,1.62183961120607,3.15083700233305,2.89889279214479e-251,0.0930641031133232,33.8566310416844
